话题,该话题总赞数,该话题总转发数,该话题总评论数
1,3462469,102551,62766
2,346068,22112,38291
3,480431,14438,27784
4,249795,15565,17263
5,45022,9009,7129
6,537169,32538,84899
7,116582,7884,29771
8,143155,9872,4000
9,243840,16018,9904
10,118946,5059,7816
