Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,新浪新闻,:【#罗志祥周扬青分手#周扬青称男方爱组“多人运动”三观碎一地】4月23日，周扬青发表长文正式宣布与罗志祥分手，称罗志祥“九年间一直约妹子”、和多名女艺人、#罗志祥化妆师#等“有长期不正当男女关系”；#罗志祥手机#周扬青称有一部专门用来聊妹的手机↓↓周扬青还直呼罗志祥太渣了↓↓#罗志祥人设#要崩了吗？更多细节曝光↓↓http://t.cn/A6wuC27B,248479,709,6106,04月23日
1,2,萌神小记,:#新浪看点#周扬青宣布与罗志祥分手后，种种迹象表明：两人有望复合！周扬青宣布与罗志祥分手后，种种迹象表明：两人有望复合！,0,0,0,04月30日
2,3,暧心人士,:【不受影响!周扬青宣布分手后晒照，分享贵妇下午茶笑容甜美】自周扬青发千字文宣布与罗志祥分手后，引发全网热议，今天，周扬青终于再次回到人们的视野了！她在小红书发了多张美图，喝贵妇下午茶，看起来心情十分不错！（via:咪咕视频） 暧心人士的微博视频,0,0,2,04月30日
3,4,狙击手伍德,:【周扬青宣布分手后晒照 分享贵妇下午茶笑容甜美】4月23日，周扬青宣布与罗志祥分手。4月29日，周扬青在某平台晒出了一组美照，分享近期打卡的下午茶。照片中，周扬青身穿黑色深V西装秀身材，妆容精致，笑容甜美。 周扬青宣布分手后晒照,3,1,0,04月30日
4,5,lilihongxinglai,:【周扬青宣布分手后晒照 分享下午茶露甜笑】4月23日，周扬青宣布与罗志祥分手。4月29日，周扬青在某平台晒出了一组美照，分享近期打卡的下午茶。照片中，周扬青身穿黑色深V西装秀身材，妆容精致，笑容甜美。http://t.cn/A6AbawcT,0,0,0,04月30日
5,6,娱乐趣事君,:#娱乐趣事快报#4月23日，周扬青宣布与罗志祥分手。4月29日，周扬青在某平台晒出了一组美照，分享近期打卡的下午茶。照片中，周扬青身穿黑色深V西装秀身材，妆容精致，笑容甜美。,2,0,0,04月30日
6,7,陕西青年网,:4月23日，周扬青宣布与罗志祥分手。4月29日，周扬青在某平台晒出了一组美照，分享近期打卡的下午茶。照片中，周扬青身穿黑色深V西装秀身材，妆容精致，笑容甜美。,0,0,0,04月30日
7,8,侦探诚信服务平台官博,:罗志祥周扬青分手 女方曾称找到替爸爸爱自己的人_演出周扬青发长文宣布已与罗志祥分手了一段时间，并曝罗志祥多次劈腿。2018年，两人曾在东京迪士尼过圣诞节，周扬青发文透露，因为身高矮看不到表演，罗志祥便背着她看完整场演出，并甜蜜告白：“爸爸，我终于找到一个可以接替你爱我的男人了”。http://t.cn/A6wBUg40,0,0,1,04月30日
8,9,盖饭娱乐,:#罗志祥周扬青分手##周扬青晒生活照#周扬青宣布分手后晒下午茶，称要活得充实且精致。4月29日，周扬青在某社交平台晒出了一组精致美照，分享了近期在北京打卡的下午茶，配文写道“即使无法远行也要把生活过得充实且精致”，照片中笑容甜美，状态很好，身着深V黑色西装，正如其分手声明她早已走出上段恋情，不受分手风波的影响。照片中周扬青晒出的下午茶菜品精致、摆盘甚多，酒店的装潢也极为奢华，想必价格不菲。此前个人服装品牌就曾狂卖450万人民币，独身的周扬青虽然没有了曾经罗志祥女友的光环，但靠着自己的资本也能活出彩。,2,0,0,04月30日
9,10,天天哒叔叔,:《罗志祥把妹招数曝光 获女生芳心全靠同一招》新浪娱乐讯 4月29日，据台媒，罗志祥 上周与交往9年的女友周扬青宣布分手，遭女方全盘曝光他在感情生活上不正常男女关系、多人运动等种种渣男行径，震惊各界。http://t.cn/A6A4GUKU,0,0,0,04月30日
10,11,Xl18562978,:《周扬青背景正式曝光，父亲军人出身是中行副行长，政商界人脉雄厚》4月23日，周扬青发文正式宣布与罗志祥分手。不过就在网友们坐等罗志祥放锤反击时，罗志祥却频频偃旗息鼓，就连两份道歉声明明显也有主动示好的架势。http://t.cn/A6A4z3vI,0,0,0,04月30日
11,12,娱小贝,:4月29日下午，罗志祥在社交平台发文澄清“妈妈病重”的传闻，表示妈妈身体很健康，并且没有接受过任何媒体采访。他还呼吁大家不要再攻击他妈妈。据悉，周扬青发长文宣布与罗志祥分手并曝其私生活混乱后，有台湾媒体爆料称罗志祥妈妈表达了对周扬青不满。她称自己把周扬青当作儿媳，却没想到现在分手后周扬青一点后路都不给儿子留，直接想要毁掉他的事业。她认为感情是男女双方的事情，不应该放到大众社交平台上，让网友说三道四。她还称，周扬青失去的只是九年青春，但她毁掉的是罗志祥的事业。#罗志祥 请不要再攻击我妈妈了#,1,0,0,04月29日
12,13,Secrets20,该账号因被投诉违反《微博社区公约》的相关规定，现已无法查看。查看帮助 https://kefu.weibo.com/faqdetail?id=13216,0,0,0,04月29日
13,14,铜牛论坛,:《罗志祥把妹招数曝光 获女生芳心全靠同一招》新浪娱乐讯 4月29日，据台媒，罗志祥 上周与交往9年的女友周扬青宣布分手，遭女方全盘曝光他在感情生活上不正常男女关系、多人运动等种种渣男行径，震惊各界。http://t.cn/A6AyDbRh,0,0,0,04月29日
14,15,娱乐悟,:周扬青发文宣布与罗志祥分手，并怒称你真的太太太太太渣#周扬青 没有这样的闺蜜##周扬青闺蜜#娱乐悟的微博视频,0,0,0,04月29日
15,16,一诺的妈,:#罗志祥周扬青分手#继周扬青发长文宣布分手，罗志祥回应“感谢我们相识相恋的这段人生，我也不后悔”之后，表示承认犯过很多错误，是他不懂珍惜，会承担一切后果。对此你怎么看？ 深圳 你看好罗志祥周扬青的恋情吗？,253,2,3,04月29日
16,17,苏逗b,:罗志祥妈妈指责周扬青，这才是毁了罗志祥！有两点她没教罗志祥！这两天所有的关注点都聚焦在罗志祥身上。先是周扬青发长文宣布与罗志祥分手，并指出罗志祥多次连续出轨。随即罗志祥做出郑重道歉，对周扬青自己所有他伤害的人道歉。尽管事件对罗志祥的影响很大，但由于罗志祥道歉的诚恳且及时，所以周扬青没有后续的重锤连击，也没有引起网友的集体讨伐。但是今天罗志祥妈妈发表了一番评论，反而会将事件推向了不可预测的地步。有台媒报道称，罗志祥妈妈称感情的事情应该私下处理，不应该公开撕破脸，周扬青这是想毁了罗志祥。言语之中，对自己的儿子所作所为没有任何指责。曾经，周扬青和罗志祥妈妈的关系非常好，经常在网上互动。分手后，周扬青直接取关了罗志祥妈妈。而罗志祥妈妈生气的原因是认为自己把周扬青当作儿媳妇，儿媳妇却根本不顾及她和她儿子的脸面，要彻底把亲人毁掉。其实，周扬青解释过为什么指出罗志祥出轨的原因。她说这么做并不是为了毁掉小猪，而是因为不想让其他女生被欺骗。但是在受到罗志祥妈妈的这些指责后，周扬青会不会因此而发布手里的实锤证据，就很难说了。有网友说，罗志祥已经在坑里开始忏悔，看到了一丝曙光，可是她的妈妈勇敢地跳出来，向儿子伸出手去，往下又推了一把！从罗志祥妈妈的言论分析，她只看到了儿子是受害者。她说把周扬青当作儿媳妇，跟亲人一样看待，但当儿媳妇受到儿子伤害时，完全当成了外人。儿子对她来说是没有错的，即使错也不应该受到相应的惩罚，这就是溺爱，就是没有是非观，更没有知错就改的责任感。http://t.cn/A6wsKeqb,0,0,1,04月29日
17,18,中间词汇8S45,:周扬青宣布与罗志祥分手，他们曾合体跳舞，当初有多秀现在就多痛#日常吐槽#中间词汇8S45的微博视频,0,0,0,04月29日
18,19,是你让我变坏的qiuweimin,#罗志祥周扬青分手##罗志祥手机#周扬青发声明，宣布已经和罗志祥分手！看了这长文感觉三观已塌，你们品品！！,0,0,0,04月29日
19,20,用户6259313766,":#凤凰新闻#【罗志祥多人派对内幕曝光！身材好是基本条件，游戏输了还要当狗爬】4月23日，知名网红周扬青在社交平台发长文宣布和""小猪""罗志祥早已分手，长达9年的""猪扬恋""正式情断，控诉罗志祥出轨等&...罗志祥多人派对内幕曝光！身材好是基本条件，游戏输了还要当狗爬来自@凤凰新闻客户端",0,0,0,04月28日
20,21,铜牛论坛,:《周扬青背景正式曝光，父亲军人出身是中行副行长，政商界人脉雄厚》4月23日，周扬青发文正式宣布与罗志祥分手。不过就在网友们坐等罗志祥放锤反击时，罗志祥却频频偃旗息鼓，就连两份道歉声明明显也有主动示好的架势。http://t.cn/A6A2zeRQ,1,0,4,04月28日
21,22,有揸拿Pretend,:周扬青发文宣布分手！曝罗志祥出轨！http://t.cn/A6AA1bzu,0,0,0,04月28日
22,23,娱乐圈1号店,:#新浪看点#周扬青忍无可忍终于发文宣布与罗志祥分手!周扬青忍无可忍终于发文宣布与罗志祥分手!,0,0,0,04月28日
23,24,中時電子報新影視頻道,:【#罗志祥周扬青分手##罗志祥[超话]## 了？包緊緊身邊跟8保鑣 真相讓人傻眼】http://t.cn/A6AwtEWe周揚青日前發表公開信宣布和羅志祥（小豬）分手，還指控羅志祥4罪狀：約妹、私生活亂、與旗女藝人、化妝師有不正當男女關係，甚至進行多人運動，逼得小豬發文道歉，他的舞王形象一夕崩壞，不過微博近日則傳出羅志祥現身照，不過這其實是舊照，且羅志祥近日還在大陸自主隔離中。,2,0,0,04月28日
24,25,娱乐有饭,:#何超莲谈前男友#周扬青宣布与罗志祥分手后，何超莲评论表示感同身受：“你经历的我都经历过，我知道那有多痛，很佩服你的勇敢。”日前，何超莲接受电台节目采访时谈到过往感情经历，指男方多次“拈花惹草”，但自己总会为其找借口，也觉得自己年纪小容易被哄，“他可以解释称不是因为伤害我而做，讲得非常合理，说我还小没接触过，很多人都是这么做……” 自己也曾想改变对方，“这种男人很喜欢若即若离，令你觉得控制不到他，这段关系你永远占下风，然后女方反而会更加用力去讨好。”此外，何超莲妈妈也就是赌王三姨太，对女儿的感情教育是：反正都要被骗，年轻时多碰钉子总是好的。并且不限制女儿恋爱对象，但一定不可“一脚踏两船、两三星期就换一个。”http://t.cn/A6AZ11lg,169,29,26,04月28日
25,26,圈内小帅哥,:周扬青宣布与罗志祥分手，二人相恋9年曾恩爱你我#经典娱乐##周扬青再发声#http://t.cn/A6Ah9aHA,2,0,0,04月28日
