Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,澎湃新闻,:#被骂哭的导盲犬主人说几乎每天被赶#【导盲犬坐公交被骂哭，主人说几乎每天被赶】#交警扮盲人带导盲犬坐公交被赶#近日，山西太原。莉姐体验盲人生活，与盲人和导盲犬坐公交被拒，有乘客出口骂人。导盲犬主人称这样的事几乎每天都在发生，而狗狗每次被拒和被骂，回来都要低落很久。（素材来源：相关人士）http://t.cn/A6AzjOvBhttp://t.cn/A6AzjgGU,241005,15203,9316,04月27日
1,2,lc0102,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了 】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。@澎湃新闻澎湃新闻的微博视频,0,0,0,04月30日
2,3,奶枫妹妹的特仑苏,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了 】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。@澎湃新闻澎湃新闻的微博视频,1,0,0,04月30日
3,4,山西城市频道,:#车队队长与导盲犬主人结成互助伙伴#【被拒的导盲犬主人：司机和盲人需互相包容,2,1,3,04月30日
4,5,boss大大的女人,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
5,6,我不是在Siao啦啦啦,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
6,7,lin小林_,【#交警扮盲人带导盲犬坐公交被赶#,0,0,0,04月30日
7,8,用户7223274896,【委屈！交警扮盲人带导盲犬坐公交被赶,0,0,0,04月30日
8,9,渐行在远方,:#交警扮盲人带导盲犬坐公交被赶##被骂哭的导盲犬主人说几乎每天被赶#这是一个被忽视的地方，一个被我们大多数人忽视了的群体，希望这条热搜让我们所有有良知的朋友，能多关注这个群体，为他们空出黑暗中的阳光盲道，理解尊重他们的生活所需！让爱与文明步入社会 导盲犬出入公共场所乘坐公共交通被拒，如何保护盲人的权利呢？,1,0,0,04月30日
9,10,TG-MU,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了 】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。@澎湃新闻澎湃新闻的微博视频,1,0,0,04月30日
10,11,矜矜业业的陀陀,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
11,12,雨韵丫丫,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了 】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。@澎湃新闻澎湃新闻的微博视频,0,0,1,04月30日
12,13,人防小卫士,:#聚焦人防##国际导盲犬日#【转发倡议：#我愿意和导盲犬同行#！】26日，一段“交警扮盲人带导盲犬坐公交被赶”的视频在网上引发关注。事实上，盲人欲带导盲犬乘车，证件齐全却遭拒绝的现象屡有发生。你知道吗？导盲犬都经过严格训练，是盲人的眼睛，世界上从未发生导盲犬伤人事件。#你愿和导盲犬同行吗#？愿意的请转！@央视新闻http://t.cn/EKlrlw5,5,6,1,04月30日
13,14,御宅之猫MK,:#交警扮盲人带导盲犬坐公交被赶#这是个有闪电蛇形盲道的城市 南宁,0,0,0,04月30日
14,15,夏芽Natsu-Mi,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
15,16,我腹肌好疼,:【委屈！交警扮盲人带导盲犬坐公交被赶,3,1,3,04月30日
16,17,網友70707,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
17,18,柠檬馅儿汤圆,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
18,19,woshehe,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
19,20,肥皂子,:#被骂哭的导盲犬主人说几乎每天被赶##交警扮盲人带导盲犬坐公交被赶#还是要宣传到位，让国民提高意识，别一味排斥~  警犬可以接受，为何导盲犬就要被歧视，还是认知不够深！ 导盲犬出入公共场所乘坐公共交通被拒，如何保护盲人的权利呢？,0,0,0,04月30日
20,21,虎虎爱吃鱼哈哈,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,7,0,0,04月30日
21,22,百色学院政管学院,:【你愿和它们同行吗？】近日，一段“交警扮盲人带导盲犬坐公交被赶”的视频引发关注。导盲犬是温顺聪明、训练有素的工作犬，世界上还没发生过导盲犬伤人事件。导盲犬不是普通的狗狗，它们能够帮助视力残障人士正常出行，是盲人的眼睛。与爱同行，接纳导盲犬，转发呼吁！,6,0,0,04月30日
22,23,迷途的小龙-,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,3,0,1,04月30日
23,24,水南华哥,:#交警扮盲人带导盲犬坐公交被赶##被骂哭的导盲犬主人说几乎每天被赶#悲哀！看来，知识要普及，法规要完善，合法要保护，无知要教育，氛围要营造！ 导盲犬出入公共场所乘坐公共交通被拒，如何保护盲人的权利呢？,1,3,2,04月30日
24,25,娇娇微笑可好,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
25,26,今天的啵酱,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
26,27,o飞雪莹儿o,:#被骂哭的导盲犬主人说几乎每天被赶##交警扮盲人带导盲犬坐公交被赶#社会公共资源是共同享有的，特定人群也同样享有。只是由于我们对#导盲犬#知识科普的滞后，一部分人对狗狗的结缔同时保留在#导盲犬#身上，可知一只替代人类眼睛的狗狗成为服务于人的助手经历了什么   导盲犬出入公共场所乘坐公共交通被拒，如何保护盲人的权利呢？,0,0,2,04月30日
27,28,新浪陕西,:#西安身边事#【实测：西安导盲犬顺利乘坐地铁公交】近日， 一段“交警扮盲人带导盲犬坐公交被赶”的视频在网上引发关注。西安情况如何？记者和盲人张先生带着他的导盲犬做了个实验。他们首先先来到地铁南门站，工作人员看到张先生出示的狗证后帮他扫码送入车厢，并通知到达站的工作人员接站，整个出行很顺利。后来又乘坐31路公交，司机表示有证件的工作犬可以乘坐公交。车厢里的乘客也都很理解和包容，导盲犬淡定成为吸睛小明星。（陕西都市快报 记者：王晶）http://t.cn/RDUnNFD,167,17,35,04月30日
28,29,扣扣屁眼子,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
29,30,粢饭糕66,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
30,31,娑诃楼陀,:#交警扮盲人带导盲犬坐公交被赶##被骂哭的导盲犬主人说几乎每天被赶#立法，与此同时央视出个宣传导盲犬的公益广告吧，多在公共场合播放一下，卫视频道也放一放，小孩子的通识教育也跟上，这种事就是上头态度比较重要，得扯上犯法不犯法有些人才会当回事，不然有些人意识跟不上，总对所有动物一个态度：好吃或者不好吃……http://t.cn/A6AwZS8i,0,0,0,04月30日
31,32,ETeatea,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
32,33,Mylifestorypic,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
33,34,988陕西音乐广播,:【你愿和它们同行吗？#我愿意接纳导盲犬#，支持请转！】近日，一段“交警扮盲人带导盲犬坐公交被赶”的视频引发关注。导盲犬是温顺聪明、训练有素的工作犬，世界上还没发生过导盲犬伤人事件。导盲犬不是普通的狗狗，它们能够帮助视力残障人士正常出行，是盲人的眼睛。与爱同行，接纳导盲犬，转发呼吁！,1,0,0,04月30日
34,35,新疆华图,:【#面试热点#交警扮盲人带导盲犬坐公交被赶】,1,1,0,04月30日
35,36,王喔喔O,【#交警扮盲人带导盲犬坐公交被赶#,0,0,0,04月30日
36,37,有鹙,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
37,38,淮南山南警方在线,:【转发倡议：#我愿意和导盲犬同行#,2,1,0,04月30日
38,39,冥冥梓仲,:#被骂哭的导盲犬主人说几乎每天被赶##交警扮盲人带导盲犬坐公交被赶#我觉得可能很多人对导盲犬的工作以及权益方面都没有明确的认识，这个需要引起社会的重视，除了我们这些健康人，还有一些残障人士以及工作犬等这样特殊的群体共同组成社会。社会不仅是健康人的，更是不分种族，性别，身体/心理健康……的所有人的。在维护正常人的权益的时候，我们要反省是不是这样的做法对特殊群体来说是不适合的，甚至是违法的！群众意识的提升还有赖于法律的完善和社会的宣导！http://t.cn/A6AwZS8i,0,0,0,04月30日
39,40,珂珂不在-,【#交警扮盲人带导盲犬坐公交被赶#,0,0,0,04月30日
40,41,DyadShu,:#你愿和导盲犬同行吗##被骂哭的导盲犬主人说几乎每天被赶##交警扮盲人带导盲犬坐公交被赶#如果你愿意帮助视障人士请关注我们请加入我们三渡潜能专注无障碍环境保护与残障权利倡导我们一直在行动,0,1,2,04月30日
41,42,爱踢被子z,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,1,0,04月30日
42,43,赵宇辰老婆狗肉奴,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
43,44,爱疯65346,:#交警扮盲人带导盲犬坐公交被赶##被骂哭的导盲犬主人说几乎每天被赶#建议政府制定相关法律规定，工作犬要和宠物犬区分。对民众加强对于导盲犬这类工作犬的认知，最好在学校课外活动里去了解导盲犬了解视力障碍人士生活中的不便，让人从小就树立正确观念。 导盲犬出入公共场所乘坐公共交通被拒，如何保护盲人的权利呢？,0,0,0,04月30日
44,45,云南华图,:【#面试热点#交警扮盲人带导盲犬坐公交被赶】,1,0,0,04月30日
45,46,透世清姬,:#交警扮盲人带导盲犬坐公交被赶##被骂哭的导盲犬主人说几乎每天被赶#最心疼的是导盲犬 人心里面的恶不是可以靠道德教育来约束压制的 说白了其实就是利己 自私 我不评价他人 因为换做另一件事 我自己比这些人更恶   导盲犬出入公共场所乘坐公共交通被拒，如何保护盲人的权利呢？,0,0,0,04月30日
46,47,一粒七77,【#交警扮盲人带导盲犬坐公交被赶#，狗狗哭了】近日，山西太原。交警莉姐扮盲人体验生活，带导盲犬上公交车被拒，有乘客骂骂咧咧，说耽误别人的事，被赶下车的导盲犬委屈地哭了。据相关法规导盲犬可以乘坐公共交通。（素材来源：网络）交警扮盲人带导盲犬坐公交被赶，狗狗哭了 澎湃新闻的微博视频,0,0,0,04月30日
