Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,新浪新闻客户端,:【#大学生拍摄虐猫视频贩卖#虐待动物应该判刑吗,23512,140,454,04月09日
1,2,北京青年周刊,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】#虐猫大学生退学后仍存在虐猫行为#山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，称范某庆依然存在虐猫行为。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,19,11,4,04月28日
2,3,山东商报,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】#虐猫大学生退学后仍存在虐猫行为#山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，称范某庆依然存在虐猫行为。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,1,2,1,04月26日
3,4,凤凰周刊,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】#虐猫大学生退学后仍存在虐猫行为#山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，称范某庆依然存在虐猫行为。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,452,114,99,04月26日
4,5,深蓝财经,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】#虐猫大学生退学后仍存在虐猫行为#山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，称范某庆依然存在虐猫行为。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。@中国新闻周刊http://t.cn/A6webSFG,17,5,12,04月25日
5,6,华商报,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】#虐猫大学生退学后仍存在虐猫行为#山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，称范某庆依然存在虐猫行为。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,26,34,22,04月25日
6,7,931郑州经济广播,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】#虐猫大学生退学后仍存在虐猫行为#山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，称范某庆依然存在虐猫行为。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,1,3,0,04月25日
7,8,陕西交通广播,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，#虐猫大学生退学后仍存在虐猫行为#。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,0,1,2,04月25日
8,9,每日商报,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】#虐猫大学生退学后仍存在虐猫行为#山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，称范某庆依然存在虐猫行为。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,0,0,1,04月25日
9,10,华商网,:【起底虐猫产业链：涉未成年人，私人定制视频售卖价达四千元】山东理工大四学生范某庆拍摄虐猫视频贩卖被退学后，有知情人士向记者爆料，#虐猫大学生退学后仍存在虐猫行为#。记者调查发现，范某庆背后，有一条完整的虐猫黑色产业链，这个群体被称为“舒克”。知情人士透露，“舒克”从动物救助站、送养人士处收集“货源”，捕捉大量流浪猫，制作原创虐猫视频线上贩卖，可选品种、大小及电击火烤开水烫等施虐方式，售价从10元到数百元不等，私人订制可达四千元。进群购买需先向群主提供购买者本人原创虐猫视频以验明身份。据了解，舒克群体包含未成年人，最小年龄10岁。http://t.cn/A6webSFG,11,3,3,04月25日
