Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,中国新闻网,:#相信未来义演直播#【众星云集！32组音乐人齐聚#相信未来义演#,37878,885,3042,04月04日
1,2,Irish_dss,:五月备忘录：1.打开了承载着童年的照片盒子，我小时候也太可爱了吧（不要脸哈哈哈哈~）2.喝了超多的冰饮，下个月来m会被痛死吧…哭哭...六月不能在喝了…3.看了两次线上演出。《相信未来义演》每天都期待着Tizzy T，结果最后以是官博发了一条视频的形式，但是也很好啦，终于再次听到他唱《带你去未来》了。预约了key.l的线上演出，结果和婧成团夜撞期了，一边用手机看刘聪，一边用i pad看婧，有被累到…4.《我是唱作人》大家一定要记得看！5.每日一问：今天你投票了吗？希望六月好运。,5,0,3,04月30日
2,3,三寸河图,:你，还是当年的你    1905电影网官博的微博视频,0,0,0,04月30日
3,4,也就玥一碗饭,:感谢分享！#王俊凯家的窗帘##王俊凯生长#1905电影网官博的微博视频 杭州·京都苑,0,0,0,04月30日
4,5,紫馨诗蓝嫣,:#王俊凯雷克萨斯新势力代言人[超话]##OLAY身体护理代言人王俊凯##王俊凯我们的乐队#JF  JF  互评！必回[耶]你的眼神再温柔些，月亮会融化，我也会。@TFBOYS-王俊凯#树读 (Live)[音乐]##流星 (Live)-TFBOYS-王俊凯[音乐]#王俊凯 wjk 三字弟弟 王俊凯粉丝 1905电影网官博的微博视频,0,0,5,04月29日
5,6,永远爱0921wjk,:今晚19:30，“相信未来义演”线上演唱会，点击预约观看(来自@新浪娱乐的微博直播下载地址http://t.cn/RXn0xoe,0,0,0,04月27日
6,7,微光滴落,#郑云龙寻光#郑云龙～0520相信未来线上义演《寻光》后台采访 RQ靜夜思Lo的微博视频,0,0,0,04月26日
7,8,RQ靜夜思Lo,:#郑云龙寻光#郑云龙～0520相信未来线上义演《寻光》后台采访 RQ靜夜思Lo的微博视频,7,1,0,04月21日
8,9,欢乐吐槽,:发布了头条文章：《“相信未来”线上义演公布首场时间 百位音乐人亮相》“相信未来”线上义演公布首场时间 百位音乐人亮相,3,3,4,04月21日
9,10,雲陌鹿儿LH7,:#鹿晗[超话]##鹿晗声线#永远让我着迷，温柔治愈里透着干净清亮，一耳朵就会被抓住的声音。在今晚的#相信未来义演#带来了一首《时间停了》，也送上了对所有人最真挚的祝福，健健康康才是真！音乐点的微博视频,3,1,0,04月20日
10,11,聽你克勤,:#勤深深[超话]##李克勤[超话]##相信未来义演##乐抚人心##李克勤改编红日##李克勤红日好温柔##原创音乐人李克勤#2020年5月20日 东方卫视 《文娱新天地》《相信未来》线上义演：用音乐传递爱[心]！520是一个充满爱的日子，今天的东方卫视《文娱新天地》报道了本月举行的《相信未来》线上义演活动，非常的有意义！节目中提到，承包泪点的是经典歌曲，并播出了@李克勤老师在录音室演唱改编版温柔《红日》的片段,87,2,15,04月20日
11,12,里吉苏奥杜布京的山羊,:#郑云龙寻光#❤️#音乐剧演员郑云龙#【20200520】【娱乐星天地-上海】郑云龙cut《相信未来》线上义演：用音乐传递爱小同学不适应也很可爱啦,218,37,35,04月20日
12,13,吃好吃的会不会胖啊,:#陈立农再唱有梦可待#陈立农在#相信未来义演#上带来了录音室版本的《有梦可待》，充满朝气与活力，正能量满满！逐梦力量在少年清澈的声线里传递。“越是逆着风浪，越是，向着光”,0,0,0,04月20日
