Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,新浪新闻客户端,:【第二次立案已半年！#央视追问高管涉性侵养女案#9大疑团,4268,244,499,04月12日
1,2,栩霁200101,鲍毓明今天死了吗？最高检在干嘛？后续处理报道呢？我在等一个抓了#不要让鲍毓明掉出热搜#,0,0,0,04月30日
2,3,小盒子装短腿猫,鲍毓明今天死了吗？最高检在干嘛？后续处理报道呢？我在等一个抓了#不要让鲍毓明掉出热搜#,36,7,0,04月30日
3,4,郑老师培优,:#校方回应老师以成绩胁迫女生发生性关系#前一阵子曝光的“山东某高管涉性侵养女案”尚未落下帷幕，如今又曝出学校老师性侵女学生的事件，令人不禁担忧：到底还有多少女孩曾遭遇性侵犯的梦魇？性侵未成年人犯罪近年来已成为社会关注的一大热点。4月15日，最高人民检察院发布数据显示，今年1月至3月，全国检察机关对性侵害未成年人犯罪决定起诉4151人，同比上升2.2%。性侵未成年人挑战着道德和文明的底线，威胁孩子的健康成长，让许多家庭因此坠入深渊。减少性侵未成年人犯罪的发生，不仅是个法律问题，也是个社会问题，必须要加大对性侵犯罪特别是利用特殊职责地位性侵未成年人的打击力度，保护未成年人免受侵害。,0,0,0,04月30日
4,5,小盒子装短腿猫,该账号因被投诉违反《微博社区公约》的相关规定，现已无法查看。查看帮助 https://kefu.weibo.com/faqdetail?id=13216,0,0,0,04月29日
5,6,舍纤财经要靠谱,:#,0,0,0,04月29日
6,7,小图财经aee,:#财经资讯##财经#【#鲍某某案,0,0,0,04月29日
7,8,jlssbygz,:#给受性侵儿童真爱#4月8日，山东烟台。杰瑞集团高管#鲍毓明#被指性侵养女小芳（化名）引发广泛关注，警方立案侦查。小芳寻求住所地南京警方帮助，南京警方对话烟台，希望告知小芳案件进展。#警方通报公司高管涉嫌性侵养女#澎湃新闻的微博视频,26,3,4,04月28日
8,9,正能量财经宸宸麻米,:#财经资讯##,0,0,0,04月28日
9,10,绿色海洋c123,:澎湃新闻记者 庄岸日前，企业高管鲍某明被指性侵“养女”引发关注。澎湃新闻此前报道，现年18岁的女孩小芳（化名）指控其“养父”鲍某明自其刚满14岁起对其持续性侵。鲍某明原为山东烟台杰瑞集团高管，4月9日，杰瑞集团与其解除了劳动合同。4月9日晚间，烟台市公安局芝罘分局发布通报称，2019年4月8日接到报案后次日立案，经侦查认为鲍某明不构成犯罪，4月26日撤案。后据当事人及其律师提供的线索，于2019年...http://t.cn/A6AwCdAy。,0,0,0,04月28日
10,11,咸奶油奥利奥·,鲍毓明案现在什么进展？还有后续吗？看最新的媒体报道停在了上周…,0,0,0,04月27日
11,12,小桃朋友,:#上市公司高管被指性侵养女4年#【南京警方对话烟台：望告知被性侵者案情】4月8日，山东烟台。杰瑞集团高管被指性侵养女小芳（化名）引发广泛关注，警方立案侦查南京警方对话烟台：望告知被性侵者案情  澎湃新闻的微博视频,0,0,0,04月25日
12,13,小桃朋友,:#上市公司高管被指性侵养女4年#【南京警方对话烟台：望告知被性侵者案情】4月8日，山东烟台。杰瑞集团高管被指性侵养女小芳（化名）引发广泛关注，警方立案侦查南京警方对话烟台：望告知被性侵者案情  澎湃新闻的微博视频,0,0,0,04月25日
13,14,我已披上马甲,鲍毓明案现在什么进展？还有后续吗？看最新的媒体报道停在了上周…,0,0,0,04月25日
14,15,MyEvangeline1,鲍毓明案现在什么进展？还有后续吗？看最新的媒体报道停在了上周…,8,3,1,04月24日
15,16,wangjc20999,:万众瞩目的山东某高管性侵养女案至今未有下文；都说可能夺去人们生命的新冠病毒、癌症等可怕，然而在这起性侵案中暴露出的“养父”、“生母”、不作为的当地警察或官员等诡异扭曲的人性不是比病毒、癌症更恐怖吗？ 上海·象屿鼎城,0,0,0,04月24日
16,17,升本老学长,:最近几年山东真是有些丧，山大的留学生伴读，北大山东男生牟某某逼死女友，山东烟台高管性侵养女。现在胶东帮又势大盖主。 济南,4,0,6,04月22日
17,18,公益时报,:#公益资讯#【中国性侵司法案件大数据报告：原被告双方近6成为网友关系】近日，山东烟台某上市公司高管鲍毓明性侵未成年“养女”李星星（化名）案备受关注。该案涉及未成年人保护、女性权利保护等诸多问题，引发了公众对性侵案件的公共讨论。4月15日，最高人民检察院发布了2020年1至3月全国检察机关主要办案数据。数据显示，今年第一季度，全国检察机关对性侵未成年人犯罪决定起诉4151人，同比上升2.2%。2019年，中国计划生育协会、清华大学与LoveMatters共同发起了“中国性与生殖健康大数据研究计划”，其中包含“中国涉性犯罪司法文书大数据分析”。在该研究中，我们从最高人民法院裁判文书网收录的59436092篇裁判文书（其中包括7335208篇刑事文书）中，通过大数据的方法筛选出51447份样本。该样本为全国各级人民法院在2014年1月至2018年6月间做出的含有强奸、强制猥亵和侮辱、猥亵儿童、拐卖妇女儿童等22个罪名至少任意一个罪名判决的一审判决书，并进一步选取强奸、猥亵和侮辱两类案件的数据作为性暴力与胁迫的分析对象，呈现为这份《中国性侵司法案件大数据报告》。http://t.cn/A6w0fi1r,8,2,2,04月21日
18,19,静雅心理咨询中心,:【#如何避免对被性侵者的二次伤害#】近日，“高管性侵养女案”持续引发关注。有网友为李星星作歌，期望能表达自己的支持。但由于歌词较为露骨，不少网友表示不适。每当悲剧被曝光后，人们都会为性侵受害者声援抗议。但表达关注的同时，该如何避免造成二次伤害？#鲍毓明##鲍毓明养女发声##人民日报评鲍毓明被查##育儿##山东杰瑞集团高管被立案调查#,2,0,0,04月21日
19,20,芗城区检察院,:#未成年人保护#【直面“未成年人性侵事件”  为孩子设立“安全边界”】近日，山东高管鲍某明被指性侵养女一事持续发酵，再次让“未成年人遭性侵”话题被热议，性侵未成年人犯罪成为社会关注的一大热点。性侵未成年人是一种严重犯罪，它挑战着道德和文明的底线，威胁着受害人的健康成长，让许多家庭因此坠入深渊。我国刑法对性侵未成年人犯罪规定了较高的刑罚，司法机关也不断加大对此类犯罪的打击力度。但是，性侵未成年人的行为依然存在，切实发生在我们身边。http://t.cn/A6w827sk,3,1,0,04月21日
20,21,心理师郑莉-予禅,:《高管涉嫌性侵养女：恋童是病，性犯罪对未成年人的创伤可致终身》http://t.cn/A6wQ4qFA近日，一则“企业高管被指性侵养女四年”的信息引爆舆论。涉事女孩李星星（化名）称，自己刚满14岁时就被“养父”性侵，并被长期控制在山东烟台某公寓里，受尽各种折磨，并多次尝试自杀。女孩患有重度抑郁症，重度创伤后应激PTSD、重度焦虑症等心理问题，目前正在接受心理治疗。对十三四岁少女性侵的后果，非常严重。在这里，我们要提到一个概念，叫做C-PTSD，指的是：复杂性创伤后应激障碍，又称复杂性创伤障碍，复杂性创伤后遗症，是一种对（几乎）无法逃离的状态下长期重复的人际创伤的反应发展而成的精神障碍。使用聚焦创伤的心理疗法，联合药物治疗可能需要谨慎、灵活整合。具体案例，量身定制心理治疗方案，持之以恒，才可能会取得较好疗效的。,3,3,1,04月21日
21,22,移动手机报,:#生活百科#【如何判断孩子是否遭受性侵？这7个迹象需要父母特别留意】近日，山东警方通报某企业高管鲍某某被指“性侵未成年养女”一事，让未成年人性侵害再次成为舆论焦点。北京青少年法律援助与研究中心调查发现，大多数性侵犯没有使用暴力，熟人作案占比68%。如何判断孩子遭受性侵？除了孩子主动告知外，家长可留意7种异常行为↓↓↓@青流视频http://t.cn/A6wJn5yI,2,1,1,04月20日
22,23,中国教育新闻网,:#教育#【教育与法治合力给未成年人更好保护】不久前，某公司高管被指性侵养女事件，引起社会广泛关注。上周，最高人民检察院发布消息，针对鲍某某涉嫌性侵一案，最高人民检察院、公安部已派出联合督导组赴山东，对该案办理工作进行督导。也许了解全部事实和获悉最终结果还需要一段时间，但社会各界拿出行动，合力保护未成年人的身心健康，共同为他们营造健康的成长环境，已经成为共识。从现实来看，作为全社会关注的重要课题，给未成年人有效的全方位的保护任重道远，需要借助教育这一途径，也需要祭出法律这一武器。来源：中国教育新闻网-中国教育报#性教育##烟台警方通报正全面调查鲍某某案#,1,2,1,04月20日
23,24,浩哥看山东,:【#南京警方就性侵养女案对话烟台警方#：望告知被性侵者案情】4月8日，山东烟台。杰瑞集团高管#鲍毓明#被指性侵养女小芳（化名）引发广泛关注，警方立案侦查。小芳寻求住所地南京警方帮助，南京警方对话烟台，希望告知小芳案件进展。#警方通报公司高管涉嫌性侵养女#澎湃新闻的微博视频,27,5,16,04月20日
24,25,一念·妍,:【#南京警方就性侵养女案对话烟台警方#：望告知被性侵者案情，烟台警方称构成强奸证据不足】4月8日，山东烟台。杰瑞集团高管被指性侵养女小芳引发广泛关注，警方立案侦查。小芳寻求住所地南京警方帮助，南京警方对话烟台，希望告知小芳案件进展。  七环视频的微博视频,6,0,4,04月20日
25,26,我真的不知道你在说什么啊,:#山东杰瑞集团高管被立案调查#高管性侵养女案没声了？,16,0,6,04月19日
26,27,神转评,:#我国性同意年龄是否该提高##国外法定性同意年龄多为16-18周岁#【“养女性侵”案外的性同意界限：年龄、性教育与特殊职责人】“山东高管被指性侵养女案”持续发酵，性同意一词引发热议。性同意要同时满足当事人有意愿、达到性同意年龄两个要求。每个国家都有法定性同意年龄，低于此年龄的人无论同意与否，成年人只要和TA发生性关系就构成强奸。我国性同意年龄是14岁，国外以16-18周岁居多，我国性同意年龄是否该提高也引发探讨。#运动搞笑#http://t.cn/A6wowCeK,5,2,2,04月19日
