Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,瑶海清韵,#4月4日10时全国人民默哀3分钟#【国务院公告：#4月4日举行全国性哀悼活动#】为表达全国各族人民对抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞的深切哀悼，国务院发布公告，决定2020年4月4日举行全国性哀悼活动。在此期间，全国和驻外使领馆下半旗志哀，全国停止公共娱乐活动。4月4日10时起，全国人民默哀3分钟，汽车、火车、舰船鸣笛，防空警报鸣响。（央视新闻）,0,0,0,04月30日
1,2,干货分享,:公告：4月4日举行全国性哀悼活动#4月4日举行全国性哀悼活动##搞笑视频坊#干货分享的微博视频,0,0,1,04月30日
2,3,青岛市黄岛区斯美金足球俱乐部,:#明日部分电视剧排播暂停##4月4日举行全国性哀悼活动#应该 明日全国哀悼，部分电视剧排播暂停，你为这个决定点赞吗?,1,0,0,04月29日
3,4,雪兮颜521,:全国性哀悼活动举行全国性哀悼活动举行,0,0,0,04月29日
4,5,愿卉,:全国性哀悼活动举行全国性哀悼活动举行,0,0,0,04月29日
5,6,海柳枫C,:ioy78“以凡人之肩，比肩神明”#4月4日举行全国性哀悼活动#,0,0,0,04月28日
6,7,斐越1314_289,:#美女##4月4日举行全国性哀悼活动#共悼逝者！,0,0,0,04月27日
7,8,冰之0120vakn_901,:#美女#【周知！#4月4日举行全国性哀悼活动#】明天#清明节#，共悼逝者！,0,0,0,04月27日
8,9,治雨anson,:#明日部分电视剧排播暂停##4月4日举行全国性哀悼活动#必须支持，必须发声.我们是一个整体. 明日全国哀悼，部分电视剧排播暂停，你为这个决定点赞吗?,1,0,0,04月27日
9,10,最近的你最近的爱_937,:#美女#【周知！#4月4日举行全国性哀悼活动#】明天#清明节#，共悼逝者！,0,0,0,04月27日
10,11,清晨浅雾,:#明日部分电视剧排播暂停##4月4日举行全国性哀悼活动#点点,1,0,0,04月27日
11,12,Alina小诗,:#明日部分电视剧排播暂停##4月4日举行全国性哀悼活动#非常赞同！ 明日全国哀悼，部分电视剧排播暂停，你为这个决定点赞吗?,0,0,0,04月27日
12,13,超级无敌小东雨,:#明日部分电视剧排播暂停##4月4日举行全国性哀悼活动#点赞，哀悼日就应该停 明日全国哀悼，部分电视剧排播暂停，你为这个决定点赞吗?,2,0,0,04月27日
